reach_rank,entity_id,name,kind,followers_count,manual_decision,reason
1,58,"Elon Musk",person,240748270,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
2,150,"Bill Gates",person,63899429,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
3,466,SpaceX,organization,43882719,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
4,841,Google,organization,35538437,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
5,425,"Tim Cook",person,17712556,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
6,830,TechCrunch,organization,10352143,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
7,251,jack,person,9781023,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
8,111,"Sundar Pichai",person,9024504,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
9,170,"Jeff Bezos",person,8890160,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
10,811,"Mark Cuban",person,8543425,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
11,158,"Satya Nadella",person,6904241,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
12,263,vitalik.eth,person,6887445,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
13,21,"Sam Altman",person,5413289,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
14,6,OpenAI,organization,5379521,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
15,155,"Lex Fridman",person,5120138,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
16,761,"Michael Dell 🇺🇸",person,4525265,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
17,47,"Marc Andreessen 🇺🇸",person,4335539,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
18,513,"Marc Benioff",person,3965274,review,"Plausible direct relevance needs a closer identity or output check."
19,45,"Paul Graham",person,3914056,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
20,1,Anthropic,organization,3694636,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
21,199,Naval,person,3597236,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
22,11,"Andrej Karpathy",person,3297418,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
23,2271,"Andy Jassy",person,3197609,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
24,842,"Tim O'Reilly",person,3177846,review,"Plausible direct relevance needs a closer identity or output check."
25,200,"Aaron Levie",person,3025145,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
26,102,"John Carmack",person,2821671,keep,"Direct frontier-AI lab, research, infrastructure, governance, or focused evidence source."
27,401,"Brian Armstrong",person,2804614,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
28,1223,"dara khosrowshahi",person,2615380,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
29,1191,"Cathie Wood",person,2565238,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
30,351,"Chamath Palihapitiya",person,2209843,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
31,2288,"Steve Wozniak",person,2163888,remove,"General or peripheral identity without a direct frontier-AI role under the strict case-study scope."
