rank,entity_id,organization,x_handle,followers_count,original_audit_decision,original_reason,evidence_urls,human_decision,decision_reason,restoration_note
1,2397,Glass Health,@glasshealthhq,9778,keep,"Glass Health is an AI-native clinical-agent platform with a developer API for retrieval-grounded medical Q&A, patient-data summarization, differential diagnosis, treatment planning, and ambient documentation. It describes its agentic retrieval architecture and a recurring nine-benchmark clinical-AI scorecard, providing meaningful technical and evaluation signal beyond a generic SaaS AI feature.",https://glass.health/developer-api | https://glass.health/for-clinicians | https://glass.health/,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
2,2329,Transluce,@transluceai,9484,keep,"Independent nonprofit AI research lab producing open, technical work on scalable interpretability, agent-based behavior elicitation, and empirical evaluation of frontier models. Its current research and tools directly generate original safety and capability evidence useful to frontier-AI practitioners.",https://transluce.org/research | https://transluce.org/company | https://transluce.org/investigating-o3-truthfulness | https://transluce.org/jailbreaking-frontier-models | https://transluce.org/pcd,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
3,2344,Yi-01.AI,@01ai_yi,9149,keep,"01.AI currently develops and publishes AI-native technical infrastructure, including an open, model-agnostic agent platform (Open AgentKit/LangCrew), alongside its established Yi model work. Its current enterprise focus is agentic systems, model deployment, fine-tuning, and secure AI delivery—not generic SaaS.",https://www.01.ai/ | https://github.com/01-ai/open-agentkit | https://github.com/01-ai | https://arxiv.org/html/2403.04652v1,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
4,1001,humans&,@humansand,9063,keep,"humans& is an active frontier-AI lab developing human-centric AI through long-horizon and multi-agent reinforcement learning, memory, and user understanding. Its team comprises researchers and builders from leading frontier labs, and its unusually large seed round makes its technical direction and competitive impact material to both AI and investment teams.",https://humansand.ai/ | https://humansand.ai/careers | https://techcrunch.com/2026/01/20/humans-a-human-centric-ai-startup-founded-by-anthropic-xai-google-alums-raised-480m-seed-round/,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
5,2725,Task Master,@taskmasterai,8717,keep,"Taskmaster is an actively maintained open-source AI-agent developer tool: an MCP/CLI system that structures project tasks, manages persistent workflow state, and orchestrates autonomous test-driven implementation across coding agents and AI IDEs. Its technical repository and documentation provide substantive, recurring implementation signal on agent workflow orchestration rather than generic task-management content.",https://github.com/eyaltoledano/claude-task-master | https://www.npmjs.com/package/task-master-ai | https://docs.task-master.dev/tdd-workflow/ai-agent-integration | https://tryhamster.com/docs/taskmaster | https://github.com/taskmaster-ai,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
6,2901,Pipedream,@pipedream,7883,keep,"Pipedream is a developer infrastructure platform for agentic applications: it publishes and operates managed-auth API integrations, MCP servers, and prebuilt tools that let AI agents take actions across thousands of external services. Its current technical documentation provides substantive, recurring signal on agent tool connectivity, authentication, and production integration infrastructure.",https://pipedream.com/connect | https://pipedream.com/docs/connect | https://pipedream.com/docs/connect/mcp | https://mcp.pipedream.com/developers | https://pipedream.com/docs/ai-tooling,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
7,2556,Common Crawl Foundation,@commoncrawl,7844,keep,"Common Crawl continuously produces and releases a web-scale open corpus, indexes, web graphs, and related datasets that are core inputs for LLM training and web-data research. Its current releases provide recurring original technical signal on training-data availability and composition.",https://commoncrawl.org/about | https://commoncrawl.org/overview | https://commoncrawl.org/web-graphs | https://huggingface.co/commoncrawl/datasets,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
8,2495,Paperspace (now DigitalOcean),@hellopaperspace,5928,keep,"Paperspace remains an active DigitalOcean AI/ML infrastructure product line: it provides GPU machines, ML development/training workflows, and low-latency model-serving deployments. Although the standalone brand was folded into DigitalOcean, its official channels and documentation continue to publish product, hardware, pricing, and deployment information that can signal AI compute availability and economics.",https://www.digitalocean.com/solutions/paperspace-joins-digitalocean | https://docs.digitalocean.com/products/paperspace/ | https://docs.digitalocean.com/products/paperspace/deployments/ | https://docs.digitalocean.com/products/paperspace/pricing/ | https://blog.paperspace.com/,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
9,2372,SkyPilot,@skypilot_org,5726,keep,"SkyPilot is an actively maintained open-source AI-compute control plane for running, scheduling, scaling, and serving AI workloads across Kubernetes, Slurm, on-premises systems, and 20+ clouds. Its technical work on GPU capacity, cost optimization, failover, and heterogeneous infrastructure is directly useful to AI infrastructure teams and informative for compute-market and cloud-competition analysis.",https://github.com/skypilot-org/skypilot | https://github.com/skypilot-org/skypilot/releases | https://docs.skypilot.co/en/latest/overview.html | https://docs.skypilot.co/en/latest/sky-computing.html,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
10,2354,MatX,@matxcomputing,4539,keep,"MatX is an AI-native semiconductor company building LLM-specific training and inference hardware, and it repeatedly publishes substantive technical work on LLM inference efficiency, attention, and speculative decoding. Its chip architecture and research directly inform AI infrastructure choices and the competitive economics of accelerator, memory, and interconnect markets.",https://matx.com/ | https://matx.com/research | https://matx.com/research/series_b | https://matx.com/research/sd | https://matx.com/research/sd_nsa,remove,"Adi approved a temporary under-10,000-follower organization cutoff for the first PageRank cohort on 2026-07-11.",May be rediscovered and restored later through trusted-follow PageRank evidence.
