entity_id,name,decision,relevance_basis,audience,confidence,applied,reason,evidence_urls
66,"Dwarkesh Patel",keep,specialist_intelligence,both,high,no,"Sustained deeply researched AI interviews and original analysis provide recurring technical and economic signal.","https://www.dwarkesh.com/podcast/archive;https://www.dwarkesh.com/p/the-sample-efficiency-black-hole"
72,"Jim Fan",keep,lab_activity,ai_team,high,no,"Leads NVIDIA GEAR and publishes direct frontier embodied-AI and foundation-model research.","https://research.nvidia.com/person/linxi-jim-fan;https://research.nvidia.com/labs/gear/"
87,"Patrick Collison",remove,out_of_scope,neither,high,yes,"Stripe leadership and non-operating Arc Institute support do not make this a recurring direct frontier-AI source.","https://patrickcollison.com/about;https://arcinstitute.org/about"
179,"Dylan Patel",keep,specialist_intelligence,both,high,no,"Produces sustained original SemiAnalysis research on AI infrastructure, accelerators, data centers, power, and semiconductor supply chains.","https://semianalysis.com/dylan-patel/;https://semianalysis.com/models-research/"
189,"Ethan Mollick",keep,evaluation_and_safety,ai_team,high,no,"Leads Wharton Generative AI Labs and coauthors original empirical work on LLM behavior and evaluation.","https://gail.wharton.upenn.edu/about-us/;https://gail.wharton.upenn.edu/research-and-insights/"
230,swyx,keep,lab_activity,both,high,no,"Direct Cognition work plus recurring technical Latent Space analysis provides lab and specialist signal.","https://swyx.io/cognition;https://cognition.ai/blog/swe-1-5;https://www.latent.space/archive"
385,"Peter Steinberger",keep,lab_activity,ai_team,high,no,"Current OpenAI agent work and technical stewardship of OpenClaw provide direct recurring agent-system signal.","https://steipete.me/posts/2026/openclaw;https://github.com/openclaw/openclaw"
513,"Marc Benioff",remove,out_of_scope,neither,high,yes,"Current AI output is Salesforce enterprise-product advocacy rather than original frontier-AI research, evaluation, or specialist intelligence.","https://www.salesforce.com/company/marc-benioff-bio/;https://www.salesforce.com/agentforce/"
842,"Tim O'Reilly",keep,specialist_intelligence,investment_team,medium,no,"Current AI Disclosures Project work includes original research on AI markets, protocols, platform power, and disclosure mechanisms.","https://ai-disclosures.org/people;https://ai-disclosures.org/research"
1363,OM,remove,out_of_scope,neither,high,yes,"Om Malik was a broad technology commentator rather than a concentrated frontier-AI source and is no longer an active source.","https://om.co/about/;https://om.co/2026/06/24/1966-2026/"
