rank,entity_id,name,kind,x_handles,combined_x_followers,model_decision,model_confidence,human_decision,human_reason,model_reason,evidence_urls
1,405,kache,person,@yacinemtb,303816,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Current public work centers on Dingboard, an AI-powered meme/image editor, plus broad software/personal-project blogging. Although he describes personal RL/robotics experiments and has contributed to PufferLib, available evidence does not establish a current frontier-lab role or a sustained, substantive record of original frontier-AI research, evaluations, or infrastructure intelligence.",https://x.com/yacinemtb | https://github.com/yacineMTB | https://dingboard.com/ | https://yacinemtb.substack.com/ | https://github.com/PufferAI/PufferLib
2,594,Bojan Tunguz,person,@tunguz,291443,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Tunguz currently runs TabulAI, a small tabular-data ML practice, and maintains benchmarks/tools plus occasional hardware-analysis reports. Current evidence does not establish repeated original frontier-AI research, evaluations, enabling infrastructure, or sustained investment-grade specialist intelligence; the hardware report is explicitly literature-based rather than empirical.",https://www.tabul.ai/about.html | https://tabul.ai/ | https://github.com/tunguz/TabularBenchmarks | https://github.com/tunguz/PyTorch_Hardware_May_2026 | https://substack.com/%40bojan
3,972,Joe Gebbia,person,@jgebbia,222100,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Gebbia’s current work is leading the White House National Design Studio, whose mandate is improving federal digital and physical service design. Although the studio has released an AI privacy tool, current evidence does not establish Gebbia as a recurring technical author or direct frontier-AI practitioner; his primary signal is government/design leadership rather than frontier-AI intelligence.",https://joegebbia.com/ | https://www.whitehouse.gov/presidential-actions/2025/08/improving-our-nation-through-better-design/ | https://ndstudio.gov/ | https://ndstudio.gov/posts/say-hello-to-rampart
4,2027,Dieter Bohn,person,@backlon,186680,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Bohn is currently a Google Platforms & Ecosystem/Product Narrative employee and former technology journalist. Although he has publicly demonstrated an Android XR/Gemini prototype, the available evidence indicates a product-communications role rather than sustained original frontier-AI research, evaluation, infrastructure, or specialist investment intelligence.",https://computerhistory.org/profile/dieter-bohn/ | https://www.youtube.com/watch?v=I2tRD7cP1Yw | https://www.androidauthority.com/google-smart-glasses-prototype-demo-3648368/
5,976,Josh Elman,person,@joshelman,164203,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Elman’s current role is consumer investing at a16z, and his stated work centers on consumer-company product strategy, growth loops, and network effects. Although he recently led product marketing for Apple Intelligence and Siri AI, current first-party evidence does not establish recurring original frontier-AI research, evaluations, infrastructure analysis, or specialist intelligence.",https://a16z.com/author/josh-elman/ | https://a16z.com/the-world-building-doors-are-open-again/
6,2224,Joel Spolsky,person,@spolsky,159216,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Although Spolsky remains a co-founder and director of AI-native company HASH, current evidence does not show recurring personal production of frontier-AI research, evaluations, technical work, or specialist intelligence. His identifiable HASH output is only three posts, while his own site says he does not publish much and centers general software, management, business, and Internet commentary.",https://hash.ai/about/leadership/joel-spolsky | https://hash.ai/blog/author/joel-spolsky | https://www.joelonsoftware.com/about-me/ | https://hash.ai/blog/berlin-office
7,624,Alfredo Canziani @ ICML,person,@alfcnz,138988,remove,medium,keep,Keep: current NYU deep-learning faculty with a 2026 Transformer-mechanisms paper and continuing technical materials; plausible recurring AI-team research value.,"Canziani is currently an NYU clinical faculty member whose sustained public output is deep-learning education, courseware, and explanatory material. He has a recent coauthored Transformer-mechanisms paper, but the evidence does not establish a sustained current frontier-research or lab-output stream sufficient for this selective registry.",https://cs.nyu.edu/dynamic/people/faculty/type/2/ | https://atcold.github.io/didactics.html | https://github.com/Atcold/NYU-DLFL25U | https://arxiv.org/abs/2603.05498
8,2801,Steve Schoger,person,@steveschoger,127661,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Schoger is a visual designer at Tailwind Labs whose primary output is web/UI design, Tailwind CSS ecosystem work, and design education. His recent UI.sh/Claude Code material is a design-oriented prompt-and-workflow toolkit for coding assistants, not substantive frontier-AI research, model/agent infrastructure, evaluations, safety work, or specialist investment intelligence.",https://www.steveschoger.com/ | https://www.steveschoger.com/projects/ | https://tailwindcss.com/ | https://ui.sh/ | https://www.youtube.com/watch?v=lkKGQVHrXzE
9,1164,Steve Jurvetson,person,@futurejurvetson,110256,remove,medium,remove,"Remove: after human audit, current evidence still does not establish repeated original frontier-AI, evaluation, AI-native technical, or focused specialist-intelligence output.","Jurvetson’s current role is as a broad early-stage venture capitalist. Although Future Ventures has an AI-focused fund and he occasionally comments on AI and infrastructure, the evidence does not establish sustained original frontier-AI research, evaluation, technical development, or narrowly focused specialist intelligence.",https://future.ventures/bio/ | https://future.ventures/ | https://pitchbook.com/news/articles/steve-jurvetson-future-ventures-ai-fund | https://steve.blog/2026/04/25/ai-and-the-universal-innervation-of-the-economy/
10,1358,Andrew McCalip,person,@andrewmccalip,79675,remove,medium,keep,"Keep: published an original, first-principles orbital-versus-terrestrial data-center model directly relevant to AI-infrastructure economics for the investment team.","McCalip is currently a space-hardware/R&D engineer and an experimental AI-product builder. His original orbital-versus-terrestrial data-center calculator is relevant and substantive, but current evidence shows a single notable infrastructure analysis rather than sustained, repeatable frontier-AI or specialist-intelligence output required for this selective registry.",https://github.com/andrewmccalip/ | https://andrewmccalip.com/space-datacenters | https://github.com/andrewmccalip/thoughts | https://spectrum.ieee.org/orbital-data-centers
