rank,entity_id,name,kind,x_handles,combined_x_followers,model_decision,model_confidence,human_decision,human_reason,model_reason,evidence_urls
1,15,Ian Goodfellow,person,@goodfellow_ian,374142,review,medium,keep,Keep: foundational researcher with recent DeepMind safety work and a current stealth startup; credible lab activity remains likely.,"The supplied X bio identifies this Ian Goodfellow as co-founder of an undisclosed startup, but current first-party evidence does not establish that the startup is frontier-AI related or that he is presently publishing substantive frontier work. His recent DeepMind safety contribution and foundational research are strong historical signals, but do not resolve the current connection.",https://x.com/goodfellow_ian | https://arxiv.org/pdf/2501.13011 | https://www.iangoodfellow.com/blog/about/
2,148,Sriram Krishnan,person,@sriramk,310650,review,high,remove,"Remove: the White House AI-policy role ended and no current lab, technical, or sustained specialist-intelligence role is established.","Krishnan recently held a highly relevant White House AI-policy role, but his supplied X bio now identifies him as ex-White House/ex-a16z and reporting confirms his departure. His personal site still lists the former role, while no current AI lab, technical, or sustained specialist-intelligence position is established; reassess once a current role or publication track record is clear.",https://x.com/sriramk | https://sriramk.com/about | https://www.cnbc.com/2026/06/06/white-house-ai-policy-adviser-krishnan-to-leave-position.html
3,1115,Toby Pohlen,person,@tobyphln,169957,review,medium,keep,Keep: recently departed xAI co-founder and former DeepMind researcher; directly shaped frontier models and is only recently outside a lab.,"Pohlen clearly has frontier-AI credentials as an xAI co-founder and former DeepMind research engineer, but current evidence indicates he left xAI in February 2026 and did not announce a subsequent role or research program. His present capacity to repeatedly produce frontier-AI signal is therefore unresolved.",https://x.com/tobyphln | https://www.cnbc.com/2026/03/13/elon-musk-xai-co-founders-spacex-ipo.html | https://scholar.google.com/citations?hl=en&user=1umAK2gAAAAJ
4,2223,Will Cathcart,person,@wcathcart,159220,review,high,remove,Remove: current Meta transition concerns consumer products; no direct frontier-model role or recurring original output is established.,"Cathcart recently stepped down as WhatsApp head and remains at Meta, but Meta has not specified his new product-building remit. Reporting describes it as AI-focused consumer-product work, which is insufficient to establish direct, recurring frontier-AI signal or technical leadership.",https://www.cnbc.com/2026/06/22/meta-kunal-shah-whatsapp-will-cathcart.html | https://www.thehindu.com/sci-tech/technology/who-is-will-cathcart-outgoing-whatsapp-chief-to-be-replaced-by-cred-kunal-shah/article71136542.ece | https://www.meta.com/about/leadership/will-cathcart/
5,599,gabriel,person,@gabriel1,109818,review,medium,keep,Keep: recent OpenAI Sora and Midjourney engineer now starting a new project; strong direct generative-model signal.,"Resolved as Gabriel Petersson. He has credible recent frontier experience in OpenAI's Sora research and at Midjourney, but his current work is only described as a still-undisclosed “new thing.” Available evidence does not yet establish a concrete frontier-AI lab, product, or sustained technical output that would reliably generate recurring signal.",https://x.com/gabriel1 | https://x.com/gabriel1/status/2063698980324737381 | https://github.com/gabrielpetersson | https://www.breakit.se/artikel/46563/gabriel-petersson-gjorde-succe-pa-openai-drar-igang-nytt-hemligt-ai-projekt-founder-mode
6,2455,will depue,person,@willdepue,68028,review,medium,keep,Keep: original Sora contributor and recent OpenAI researcher pursuing advanced video/world-model work.,"DePue is an original Sora contributor and his personal profile says he returned to OpenAI to pursue a high-risk ASI project, but the supplied current X bio identifies him as ex-OpenAI and no verifiable current organization or output tied to “dei ex machina” was found. Current frontier connection is therefore unresolved.",https://x.com/willdepue | https://depue.notion.site/Will-DePue-8b7af67a213e429b91134d0529b6dfa7 | https://openai.com/bibtex/videoworldsimulators2024.bib
7,1627,Jimmy Apples 🍎/acc,person,@apples_jimmy,59670,review,medium,remove,"Remove: anonymous rumor/leaker account without attributable research, evaluations, lab work, or verifiable recurring intelligence.","Anonymous X account focused on OpenAI rumors and product commentary. Historical reporting characterizes it as an unverified leaker, while currently accessible material shows speculation about product branding rather than attributable technical research, evaluations, or verified lab work. Its claimed insider connection and ability to produce repeatable high-value signal cannot be established.",https://x.com/apples_jimmy | https://digg.com/tech/2or0861l | https://huggingface.co/apples-jimmy | https://grokipedia.com/page/jimmy-apples
8,460,Yuhuai (Tony) Wu,person,@yuhu_ai_,55221,review,medium,keep,"Keep: xAI co-founder with substantial original reasoning and theorem-proving research, only recently outside the lab.","Wu has a strong record of original work in machine reasoning, LLM reasoning, and theorem proving, but he publicly resigned from xAI on February 10, 2026. His supplied X bio and Google Scholar profile still say xAI co-founder, while no confirmed current lab, venture, or active research role was found; the present frontier connection is therefore unclear.",https://www.cnbc.com/2026/02/10/elon-musk-xai-co-founder-tony-wu.html | https://yuhuaiwu.github.io/ | https://www.cs.utoronto.ca/~ywu/Publications.html | https://scholar.google.com/citations?hl=en&user=bOQGfFIAAAAJ
9,1635,Mike Matas,person,@mike_matas,45762,review,medium,remove,Remove: interface designer whose personal connection to LoveFrom's OpenAI work is not established and whose channel is not a recurring AI source.,"Matas’s own site identifies him as an interface designer currently working on projects with LoveFrom. LoveFrom has a substantive current collaboration with OpenAI on new AI-product designs, but available evidence does not establish that Matas personally works on those frontier-AI efforts or that his X account repeatedly publishes original AI-relevant information.",https://mikematas.com/ | https://openai.com/sam-and-jony/
10,292,typedfemale,person,@typedfemale,45740,review,medium,defer,Defer: the exact identity or account-to-person link remains unresolved; leave untouched rather than infer a destructive decision.,"Pseudonymous account shows technical PyTorch/LLM commentary, but current employment, identity, and evidence of repeated original frontier-AI research or engineering output cannot be established. The only visible code repository is a fork, not substantive original work.",https://x.com/typedfemale | https://github.com/typedfemale | https://bsky.app/profile/typedfemale.bsky.social
